Re,G,V,DP
0.4,27.1935552,0.1,8.497986
0.5872,27.63453351498637,0.1468,12.677342249999999
0.8615999999999999,27.574020427112348,0.2154,18.5607625
1.2648,27.599716635041112,0.3162,27.27197
1.8568000000000002,27.593625161568287,0.4642,40.0280025
2.7252,27.656675179803315,0.6813,58.88279
4.0,27.7627352,1.0,86.7585475
5.8712,27.812219103420084,1.4678,127.57117249999999
8.6176,27.95704790196807,2.1544,188.22082500000002
12.6492,28.21449451348702,3.1623,278.820925
18.5664,28.80987590486039,4.6416,417.88725
27.251600000000003,29.833768292503926,6.8129,635.17025
40.0,31.4013248,10.0,981.2914000000001
58.712,33.86387791252214,14.678,1553.2937499999998
86.1772,37.67567662908519,21.5443,2536.55025
126.4912,43.66885917755543,31.6228,4315.41125
185.6636,53.4164404869883,46.4159,7748.0380000000005
272.5168,69.48750433000829,68.1292,14794.15025
400.0,94.94814399999998,100.0,29671.295
587.1196,134.69994733611347,146.7799,61785.14
