Re,G,V,DP
0.4,21.435572000000004,0.1,6.698616250000001
0.5872,21.72290081743869,0.1468,9.965380750000001
0.8615999999999999,21.74495078922934,0.2154,14.637069999999998
1.2648,21.76531309297913,0.3162,21.50685
1.8568000000000002,21.745099526066348,0.4642,31.543985
2.7252,21.718978423601932,0.6813,46.2410625
4.0,21.760153600000002,1.0,68.00048
5.8712,21.782822727892082,1.4678,99.915085
8.6176,21.962796138135914,2.1544,147.86452500000001
12.6492,22.108356575909937,3.1623,218.478925
18.5664,22.50455877283695,4.6416,326.428625
27.251600000000003,23.136054250025687,6.8129,492.573825
40.0,24.1459432,10.0,754.560725
58.712,25.728532497615475,14.678,1180.135625
86.1772,28.164342308638485,21.5443,1896.1907500000002
126.4912,31.931581011169154,31.6228,3155.5187499999997
185.6636,37.899662831055736,46.4159,5497.33425
272.5168,47.57096575330402,68.1292,10128.037
400.0,62.9998,100.0,19687.4375
587.1196,87.18253657346816,146.7799,39989.5125
