Re,G,V,DP
0.4,15.6782792,0.1,4.89946225
0.5872,15.786694277929152,0.1468,7.242146
0.8615999999999999,15.79434354688951,0.2154,10.631567500000001
1.2648,15.798459203036051,0.3162,15.6108525
1.8568000000000002,15.816144765187417,0.4642,22.943295
2.7252,15.852741523557903,0.6813,33.7514775
4.0,15.870472800000002,1.0,49.59522750000001
5.8712,15.905033928328113,1.4678,72.95440250000001
8.6176,15.93786483475678,2.1544,107.301675
12.6492,16.037286784935013,3.1623,158.483475
18.5664,16.213629782833507,4.6416,235.17870000000002
27.251600000000003,16.497221447548032,6.8129,351.231
40.0,17.003908,10.0,531.372125
58.712,17.773935958577464,14.678,815.268225
86.1772,18.961952813505196,21.5443,1276.63125
126.4912,20.742924725198275,31.6228,2049.84175
185.6636,23.373638774644036,46.4159,3390.339
272.5168,27.235473776295628,68.1292,5798.5345
400.0,32.9287352,100.0,10290.229749999999
587.1196,41.41509838881208,146.7799,18996.574999999997
