H,step,v3d,pi3d,v2d,pi2d
0.9,1594,146.659,0.682224,202.919,0.965
0.9,1530,146.659,0.664656,199.159,0.969
0.9,1563,146.659,0.684176,195.271,0.974
0.9,1554,146.659,0.73688,192.519,0.978
0.9,1903,215.26,0.719312,285.114,0.967
0.9,1900,215.26,0.7564,274.194,0.98
0.9,50000,315.967,0.7076,419.906,0.958
0.9,33000,315.967,0.762256,398.376,0.977
0.9,2544,315.967,0.772016,391.751,0.982
0.9,2000,315.967,0.745664,409.685,0.975
