Re,G,V,DP
0.4,62.498424,0.1,19.5307575
0.5872,60.89688283378746,0.1468,27.936445
0.8615999999999999,60.948330547818024,0.2154,41.025845000000004
1.2648,61.005998734977865,0.3162,60.281552500000004
1.8568000000000002,61.10581301163291,0.4642,88.64162
2.7252,64.40738235725819,0.6813,137.1273425
4.0,64.70306400000001,1.0,202.19707500000004
5.8712,64.04433301539719,1.4678,293.76335
8.6176,65.06628295581139,2.1544,438.05875000000003
12.6492,65.97356607532492,3.1623,651.96315
18.5664,68.52932437090658,4.6416,994.01785
27.251600000000003,72.13461521525342,6.8129,1535.7685000000001
40.0,77.903672,10.0,2434.48975
58.712,86.83111050551847,14.678,3982.8345
86.1772,100.7139484689686,21.5443,6780.661
126.4912,122.62503257143578,31.6228,12117.958999999999
185.6636,157.72231498258142,46.4159,22877.572500000002
272.5168,212.86810354444202,68.1292,45320.417499999996
400.0,296.663888,100.0,92707.465
587.1196,421.97488893234015,146.7799,193554.475
