Re,G,V,DP
0.4,38.6349904,0.1,12.0734345
0.5872,38.63285558583106,0.1468,17.7228225
0.8615999999999999,38.667613741875584,0.2154,26.0281375
1.2648,38.702894370651485,0.3162,38.2432975
1.8568000000000002,38.76015165876777,0.4642,56.226445
2.7252,39.08236019374725,0.6813,83.2087875
4.0,39.6683704,1.0,123.96365750000001
5.8712,39.6305545714675,1.4678,181.7804
8.6176,39.83078722614186,2.1544,268.160775
12.6492,40.36875691743351,3.1623,398.93162499999994
18.5664,41.48539469148569,4.6416,601.74565
27.251600000000003,43.30044004755684,6.8129,921.8799
40.0,46.1095088,10.0,1440.92215
58.712,50.4907698596539,14.678,2315.9485
86.1772,57.31370989078318,21.5443,3858.69925
126.4912,68.16699090529616,31.6228,6736.347249999999
185.6636,85.88401129785268,46.4159,12457.449
272.5168,114.679144918772,68.1292,24415.62
400.0,159.600608,100.0,49875.19
587.1196,228.34208226058198,146.7799,104737.5875
